linha,scenario,date_range,limit_ms,days_exceeding,total_days,n_cells,pct
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,historical,1995-2014,5.902946679848927,900,7305,2,12.32
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2021-2040,5.902946679848927,1187,7305,2,16.25
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2031-2050,5.902946679848927,1275,7305,2,17.45
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP1-2.6,2041-2060,5.902946679848927,1371,7305,2,18.77
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2021-2040,5.902946679848927,1927,7305,2,26.38
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2031-2050,5.902946679848927,2227,7305,2,30.49
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP2-4.5,2041-2060,5.902946679848927,2371,7305,2,32.46
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2021-2040,5.902946679848927,1234,7305,2,16.89
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2031-2050,5.902946679848927,1418,7305,2,19.41
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,SSP3-7.0,2041-2060,5.902946679848927,1629,7305,2,22.3
LT 88 kV OURINHOS / CHAVANTES C 1 SP,historical,1995-2014,6.642035007476807,731,7305,1,10.01
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2021-2040,6.642035007476807,1026,7305,1,14.05
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2031-2050,6.642035007476807,1024,7305,1,14.02
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP1-2.6,2041-2060,6.642035007476807,1057,7305,1,14.47
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2021-2040,6.642035007476807,1235,7305,1,16.91
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2031-2050,6.642035007476807,1285,7305,1,17.59
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP2-4.5,2041-2060,6.642035007476807,1383,7305,1,18.93
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2021-2040,6.642035007476807,991,7305,1,13.57
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2031-2050,6.642035007476807,1130,7305,1,15.47
LT 88 kV OURINHOS / CHAVANTES C 1 SP,SSP3-7.0,2041-2060,6.642035007476807,1239,7305,1,16.96
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,historical,1995-2014,6.760849511707931,1162,7305,3,15.91
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2021-2040,6.760849511707931,1440,7305,3,19.71
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2031-2050,6.760849511707931,1437,7305,3,19.67
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP1-2.6,2041-2060,6.760849511707931,1489,7305,3,20.38
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2021-2040,6.760849511707931,1585,7305,3,21.7
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2031-2050,6.760849511707931,1639,7305,3,22.44
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP2-4.5,2041-2060,6.760849511707931,1712,7305,3,23.44
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP3-7.0,2021-2040,6.760849511707931,1358,7305,3,18.59
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP3-7.0,2031-2050,6.760849511707931,1510,7305,3,20.67
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,SSP3-7.0,2041-2060,6.760849511707931,1617,7305,3,22.14
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,historical,1995-2014,6.760849511707931,1162,7305,3,15.91
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP1-2.6,2021-2040,6.760849511707931,1440,7305,3,19.71
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP1-2.6,2031-2050,6.760849511707931,1437,7305,3,19.67
