linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,n_cells,pct
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2041-2060,314.4534579264323,41.303457926432316,128,7305,1,1.75
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2021-2040,314.4534579264323,41.303457926432316,73,7305,1,1.0
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2031-2050,314.4534579264323,41.303457926432316,87,7305,1,1.19
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2041-2060,314.4534579264323,41.303457926432316,106,7305,1,1.45
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,historical,1995-2014,314.4534579264323,41.303457926432316,74,7305,1,1.01
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2021-2040,314.4534579264323,41.303457926432316,80,7305,1,1.1
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP1-2.6,2041-2060,314.4534579264323,41.303457926432316,69,7305,1,0.94
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2021-2040,314.4534579264323,41.303457926432316,62,7305,1,0.85
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP2-4.5,2041-2060,314.4534579264323,41.303457926432316,128,7305,1,1.75
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2021-2040,314.4534579264323,41.303457926432316,73,7305,1,1.0
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2031-2050,314.4534579264323,41.303457926432316,87,7305,1,1.19
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,SSP3-7.0,2041-2060,314.4534579264323,41.303457926432316,106,7305,1,1.45
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,historical,1995-2014,313.1576692998481,40.007669299848146,144,7305,2,1.97
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2021-2040,313.1576692998481,40.007669299848146,158,7305,2,2.16
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2031-2050,313.1576692998481,40.007669299848146,202,7305,2,2.77
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP1-2.6,2041-2060,313.1576692998481,40.007669299848146,181,7305,2,2.48
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2021-2040,313.1576692998481,40.007669299848146,153,7305,2,2.09
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2031-2050,313.1576692998481,40.007669299848146,207,7305,2,2.83
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP2-4.5,2041-2060,313.1576692998481,40.007669299848146,282,7305,2,3.86
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2021-2040,313.1576692998481,40.007669299848146,187,7305,2,2.56
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2031-2050,313.1576692998481,40.007669299848146,200,7305,2,2.74
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,SSP3-7.0,2041-2060,313.1576692998481,40.007669299848146,231,7305,2,3.16
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,historical,1995-2014,314.268282182375,41.118282182375026,117,7305,3,1.6
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2021-2040,314.268282182375,41.118282182375026,125,7305,3,1.71
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2031-2050,314.268282182375,41.118282182375026,149,7305,3,2.04
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP1-2.6,2041-2060,314.268282182375,41.118282182375026,120,7305,3,1.64
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2021-2040,314.268282182375,41.118282182375026,108,7305,3,1.48
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2031-2050,314.268282182375,41.118282182375026,148,7305,3,2.03
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP2-4.5,2041-2060,314.268282182375,41.118282182375026,209,7305,3,2.86
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2021-2040,314.268282182375,41.118282182375026,129,7305,3,1.77
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2031-2050,314.268282182375,41.118282182375026,142,7305,3,1.94
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,SSP3-7.0,2041-2060,314.268282182375,41.118282182375026,166,7305,3,2.27
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,historical,1995-2014,314.4534579264323,41.303457926432316,74,7305,1,1.01
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2021-2040,314.4534579264323,41.303457926432316,80,7305,1,1.1
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP1-2.6,2041-2060,314.4534579264323,41.303457926432316,69,7305,1,0.94
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2021-2040,314.4534579264323,41.303457926432316,62,7305,1,0.85
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP2-4.5,2041-2060,314.4534579264323,41.303457926432316,128,7305,1,1.75
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2021-2040,314.4534579264323,41.303457926432316,73,7305,1,1.0
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2031-2050,314.4534579264323,41.303457926432316,87,7305,1,1.19
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,SSP3-7.0,2041-2060,314.4534579264323,41.303457926432316,106,7305,1,1.45
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,historical,1995-2014,314.4534579264323,41.303457926432316,74,7305,1,1.01
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2021-2040,314.4534579264323,41.303457926432316,80,7305,1,1.1
